workout_date,class_time,studio,coach,splat_points,calories,avg_hr,peak_hr,avg_pct_max_hr,peak_pct_max_hr,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,steps,class_type,template,is_forward,source_file,email_date_utc,note
2018-05-21,,,,26,858,154,,82.0,,2,6,20,15,11,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-21T16:57:05+00:00,
2018-05-22,,,,25,895,150,,80.0,,2,6,25,24,1,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-22T21:30:19+00:00,
2018-05-24,,,,29,901,151,,80.0,,3,9,17,23,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-24T16:59:57+00:00,
2018-05-25,,,,20,853,146,,78.0,,4,6,28,18,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-25T21:27:56+00:00,
2018-05-29,,,,22,789,148,,79.0,,1,12,17,19,3,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-29T21:25:06+00:00,
2018-05-31,,,,25,857,149,,79.0,,6,6,20,21,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-05-31T16:59:16+00:00,
2018-06-01,,,,10,782,137,,73.0,,6,16,27,10,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-01T16:57:52+00:00,
2018-06-04,,,,24,822,148,,79.0,,5,5,21,19,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-04T21:27:19+00:00,
2018-06-05,,,,17,809,140,,75.0,,7,11,23,17,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-05T16:59:45+00:00,
2018-06-07,,,,25,779,151,,80.0,,4,6,16,18,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-07T16:55:18+00:00,
2018-06-11,,,,15,753,139,,74.0,,8,11,20,14,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-11T16:58:31+00:00,
2018-06-12,,,,18,804,144,,77.0,,4,9,24,16,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-12T21:26:14+00:00,
2018-06-14,,,,25,891,148,,78.0,,5,8,22,24,1,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-14T17:05:00+00:00,
2018-06-18,,,,11,632,144,,76.0,,1,11,21,9,1,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-18T16:55:04+00:00,
2018-06-19,,,,17,861,143,,76.0,,5,14,24,10,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-19T17:01:44+00:00,
2018-06-21,,,,23,837,146,,77.0,,5,8,20,19,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-21T16:56:58+00:00,
2018-06-23,,,,19,824,148,,79.0,,2,8,26,19,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-23T15:14:21+00:00,
2018-06-25,,,,22,860,146,,78.0,,5,11,20,15,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-25T14:12:59+00:00,
2018-06-28,,,,29,845,152,,81.0,,4,3,17,26,3,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-06-28T13:14:58+00:00,
2018-07-02,,,,14,752,140,,74.0,,9,13,18,9,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-02T14:11:16+00:00,
2018-07-03,,,,14,769,141,,75.0,,6,10,24,13,1,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-03T13:11:13+00:00,
2018-07-05,,,,17,781,142,,75.0,,5,12,22,16,0,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-05T12:10:42+00:00,
2018-07-08,,,,19,816,139,,74.0,,10,11,19,14,5,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-08T15:45:13+00:00,
2018-07-12,,,,26,916,149,,79.0,,4,6,24,24,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-12T14:17:07+00:00,
2018-07-16,,,,29,874,148,,79.0,,9,5,15,19,10,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-16T14:13:10+00:00,
2018-07-18,,,,16,814,137,,73.0,,9,17,18,14,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-18T14:20:00+00:00,
2018-07-19,,,,20,773,149,,79.0,,1,9,21,16,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-19T13:15:00+00:00,
2018-07-23,,,,20,777,144,,77.0,,6,11,17,14,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-23T21:25:09+00:00,
2018-07-25,,,,23,826,147,,78.0,,4,8,20,20,3,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-25T21:25:18+00:00,
2018-07-27,,,,16,814,141,,75.0,,6,16,19,15,1,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-27T21:28:43+00:00,
2018-07-29,,,,23,851,150,,80.0,,2,10,20,18,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-29T14:27:15+00:00,
2018-07-31,,,,19,857,144,,77.0,,5,8,27,16,3,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-07-31T17:00:36+00:00,
2018-08-02,,,,13,742,142,,75.0,,5,16,19,7,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-02T13:15:07+00:00,
2018-08-05,,,,22,841,144,,77.0,,7,10,19,18,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-05T13:28:37+00:00,
2018-08-08,,,,23,840,150,,80.0,,2,9,20,16,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-08T21:25:10+00:00,
2018-08-17,,,,30,906,155,,83.0,,1,5,19,19,11,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-17T21:25:53+00:00,
2018-08-20,,,,38,922,156,,83.0,,9,3,7,13,25,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-20T21:27:38+00:00,
2018-08-22,,,,28,891,153,,82.0,,1,5,21,26,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-22T14:11:36+00:00,
2018-08-24,,,,24,797,152,,81.0,,1,7,19,18,5,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-24T16:55:10+00:00,
2018-08-27,,,,17,768,138,,73.0,,12,13,15,13,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-27T14:12:27+00:00,
2018-08-29,,,,26,917,149,,79.0,,2,15,17,20,6,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-29T21:30:11+00:00,
2018-08-31,,,,16,803,140,,75.0,,6,15,20,14,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-08-31T21:28:12+00:00,
2018-09-04,,,,16,788,138,,73.0,,8,18,15,12,4,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-04T16:57:07+00:00,
2018-09-06,,,,34,872,149,,82.0,,5,4,14,24,10,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-06T16:58:15+00:00,
2018-09-10,,,,22,794,142,,78.0,,6,12,16,11,11,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-10T14:15:12+00:00,
2018-09-12,,,,23,853,147,,81.0,,1,12,21,10,14,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-12T14:16:17+00:00,
2018-09-14,,,,40,913,156,,86.0,,2,4,11,21,19,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-14T14:15:12+00:00,
2018-09-17,,,,25,808,149,,82.0,,1,4,22,18,8,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-17T14:09:59+00:00,
2018-09-19,,,,21,780,145,,79.0,,3,8,21,8,13,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-19T16:55:18+00:00,
2018-09-22,,,,23,545,170,,93.0,,2,3,2,0,23,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-22T17:35:04+00:00,
2018-09-23,,,,23,537,174,,96.0,,0,0,5,1,22,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-23T10:35:00+00:00,
2018-09-25,,,,23,790,144,,79.0,,2,7,21,21,2,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-25T14:11:15+00:00,
2018-09-27,,,,22,811,144,,79.0,,2,10,21,14,7,,,2018-keepburning,False,OTF_Data-2018.mbox,2018-09-27T16:55:41+00:00,
2018-10-01,9:15 AM,"Tenleytown, DC",Kristof,21,814,142,186.0,78.0,99.0,5,15,16,5,16,,Orange 60,2018-transitional,False,OTF_Data-2018.mbox,2018-10-01T14:14:31+00:00,
2018-10-03,12:00 PM,"Tenleytown, DC",Tammy,31,860,151,180.0,83.0,99.0,1,6,16,18,13,,Orange 60,2018-transitional,False,OTF_Data-2018.mbox,2018-10-03T16:56:08+00:00,
2018-10-05,9:15 AM,"Tenleytown, DC",Tammy,27,865,149,182.0,82.0,99.0,4,2,22,16,11,,Orange 60,2018-transitional,False,OTF_Data-2018.mbox,2018-10-05T14:14:34+00:00,
2018-10-08,10:30 AM,"Tenleytown, DC",Kristof,44,937,156,183.0,86.0,99.0,4,2,8,24,20,,Orange 60,2018-transitional,False,OTF_Data-2018.mbox,2018-10-08T15:29:47+00:00,
2018-10-09,12:00 PM,"Tenleytown, DC",Tammy,32,854,153,181.0,84.0,99.0,3,4,16,15,17,,Tornado,2018-transitional,False,OTF_Data-2018.mbox,2018-10-09T16:58:15+00:00,
