start_date,end_date,event,detail
2020-03-12,2021-05-16,COVID-19 closure and caution period,"Studio closed due to COVID-19 pandemic; after reopening, stayed out longer as a precaution for the kids. 432 days between classes."
2022-01-25,2022-03-20,Right thumb injury,Injured right thumb last week of January 2022; unable to work out for ~6 weeks. 57 days between classes.
2023-04-24,2023-09-09,Broken sesamoid (right foot),Broke a sesamoid in right foot in late April 2023; unable to work out for months. 161 days between classes.
2023-09-10,2023-09-10,Final class - return test,"Came back to test the foot, determined OTF (treadmill-heavy) no longer viable, and switched to something else. Last recorded workout."
